artifact_type,case_id,path,exists,size_bytes,rows,sha256,notes
local_synthetic_mask,309_3_917,rivanna_pull/analysis/synthetic_lollipop_v1/masks/309_3_917_synthetic_lollipop.nii.gz,True,3671,,50acf5b3b5fabb2f09f7f66ce47119f66c1037ea9e2075ccfa32623db25b64ac,mask_voxels=46; mask_volume_mm3=46; manifest_realized=46; in_pulled_features=True; shape=93x93x93; spacing=1x1x1
local_synthetic_mask,320_1_183,rivanna_pull/analysis/synthetic_lollipop_v1/masks/320_1_183_synthetic_lollipop.nii.gz,True,11510,,5f3bf9510d08d554f0556a471cca5d517782379ef54fdd7aac5fe3310f224149,mask_voxels=322; mask_volume_mm3=322; manifest_realized=322; in_pulled_features=True; shape=137x137x137; spacing=1x1x1
local_synthetic_mask,320_2_225,rivanna_pull/analysis/synthetic_lollipop_v1/masks/320_2_225_synthetic_lollipop.nii.gz,True,12088,,bbb8a84d5cd5efa89866479869987a5ed325ad8e8591c81bf9438f0149c4c5b9,mask_voxels=439; mask_volume_mm3=439; manifest_realized=439; in_pulled_features=True; shape=139x139x139; spacing=1x1x1
local_synthetic_mask,333_1_279,rivanna_pull/analysis/synthetic_lollipop_v1/masks/333_1_279_synthetic_lollipop.nii.gz,True,14751,,d9a06d98fbdab30bfc395546b30303cd086a273309bcb97b50a1da2548e4cd4d,mask_voxels=1063; mask_volume_mm3=1063; manifest_realized=1063; in_pulled_features=True; shape=148x148x148; spacing=1x1x1
local_synthetic_mask,339_1_248,rivanna_pull/analysis/synthetic_lollipop_v1/masks/339_1_248_synthetic_lollipop.nii.gz,True,17940,,557af61afc2812d7fdb3ec2aa95f43eb4a02bdf75e57522a448a1ce89862b315,mask_voxels=1317; mask_volume_mm3=1317; manifest_realized=1317; in_pulled_features=True; shape=158x158x158; spacing=1x1x1
local_synthetic_mask,339_2_430,rivanna_pull/analysis/synthetic_lollipop_v1/masks/339_2_430_synthetic_lollipop.nii.gz,True,16886,,f413ac74e7d46b2b37ca01fdc45531d8db2a8c270449716c814db4a33e9eef30,mask_voxels=1131; mask_volume_mm3=1131; manifest_realized=1131; in_pulled_features=True; shape=155x155x155; spacing=1x1x1
local_synthetic_mask,385_0_0,rivanna_pull/analysis/synthetic_lollipop_v1/masks/385_0_0_synthetic_lollipop.nii.gz,True,12561,,de9b8e6c0e5bfc8529c451b6ba5552d7aa3de311a6318dffa7d5e6cb706365ee,mask_voxels=363; mask_volume_mm3=363; manifest_realized=363; in_pulled_features=True; shape=141x141x141; spacing=1x1x1
local_synthetic_mask,385_1_476,rivanna_pull/analysis/synthetic_lollipop_v1/masks/385_1_476_synthetic_lollipop.nii.gz,True,9157,,535ce9bd776a50cb1c7d1c24f6e29f4941bbf8561ca91c838de1dc1260d172e2,mask_voxels=203; mask_volume_mm3=203; manifest_realized=203; in_pulled_features=True; shape=127x127x127; spacing=1x1x1
local_synthetic_mask,395_0_0,rivanna_pull/analysis/synthetic_lollipop_v1/masks/395_0_0_synthetic_lollipop.nii.gz,True,4143,,cb93632fcf874636075b5401d1aec053dbf340c97cbacdff8a1a06515cc9ca2c,mask_voxels=47; mask_volume_mm3=47; manifest_realized=47; in_pulled_features=True; shape=97x97x97; spacing=1x1x1
local_synthetic_mask,395_1_1985,rivanna_pull/analysis/synthetic_lollipop_v1/masks/395_1_1985_synthetic_lollipop.nii.gz,True,4405,,856ab052bfaa37298b31b019e414885fedc714af0fd7747e3da1c22ad6b2f1a2,mask_voxels=53; mask_volume_mm3=53; manifest_realized=53; in_pulled_features=True; shape=99x99x99; spacing=1x1x1
local_synthetic_mask,418_1_1056,rivanna_pull/analysis/synthetic_lollipop_v1/masks/418_1_1056_synthetic_lollipop.nii.gz,True,9151,,a21cc485fe9ab8484446d9e253ca7a15ece99df29ccfd1d397a4cea883849d03,mask_voxels=169; mask_volume_mm3=169; manifest_realized=169; in_pulled_features=True; shape=127x127x127; spacing=1x1x1
local_synthetic_mask,418_2_1238,rivanna_pull/analysis/synthetic_lollipop_v1/masks/418_2_1238_synthetic_lollipop.nii.gz,True,10036,,3e9582dfdaa2f5a1d604949324fb3a8f93d53cf73c771e4265cdd161a5c6ab13,mask_voxels=249; mask_volume_mm3=249; manifest_realized=249; in_pulled_features=True; shape=131x131x131; spacing=1x1x1
local_synthetic_mask,418_3_1428,rivanna_pull/analysis/synthetic_lollipop_v1/masks/418_3_1428_synthetic_lollipop.nii.gz,True,11766,,044cd1603e90fd22fa9764f70cfa85ef46950360131740859befd2520b314135,mask_voxels=270; mask_volume_mm3=270; manifest_realized=270; in_pulled_features=True; shape=138x138x138; spacing=1x1x1
local_synthetic_mask,421_1_264,rivanna_pull/analysis/synthetic_lollipop_v1/masks/421_1_264_synthetic_lollipop.nii.gz,True,1824,,3ecfb7a8abd7d9b68220017a200660872ffbdb6df899242d3f355e77c3639b2b,mask_voxels=13; mask_volume_mm3=13; manifest_realized=13; in_pulled_features=True; shape=73x73x73; spacing=1x1x1
local_synthetic_mask,421_2_1633,rivanna_pull/analysis/synthetic_lollipop_v1/masks/421_2_1633_synthetic_lollipop.nii.gz,True,2121,,c2ff8689287b0bee373672bf53422250dc3dd01e5350a1d3ae8c494fb219fb50,mask_voxels=14; mask_volume_mm3=14; manifest_realized=14; in_pulled_features=True; shape=77x77x77; spacing=1x1x1
local_synthetic_mask,421_4_3550,rivanna_pull/analysis/synthetic_lollipop_v1/masks/421_4_3550_synthetic_lollipop.nii.gz,True,3006,,3b49810cf484a5c401f534fdc481e44180de707891c4b883a4bf95cfd1b4fa87,mask_voxels=32; mask_volume_mm3=32; manifest_realized=32; in_pulled_features=True; shape=87x87x87; spacing=1x1x1
local_synthetic_mask,424_4_2863,rivanna_pull/analysis/synthetic_lollipop_v1/masks/424_4_2863_synthetic_lollipop.nii.gz,True,8150,,9a829794c274ca62c461b70368e73c549ce832ff7cd79658beaaabc270aad1e2,mask_voxels=202; mask_volume_mm3=202; manifest_realized=202; in_pulled_features=True; shape=122x122x122; spacing=1x1x1
local_synthetic_mask,424_5_4003,rivanna_pull/analysis/synthetic_lollipop_v1/masks/424_5_4003_synthetic_lollipop.nii.gz,True,7571,,4b6d4c43971dfbec1f69c66f1785f4b7f709cfbcd4bfb2c499c0020d0ce801ef,mask_voxels=164; mask_volume_mm3=164; manifest_realized=164; in_pulled_features=True; shape=119x119x119; spacing=1x1x1
